"xSectMax","vimpelId","xSectAvg","name","diameter","depth","mass","span","cosparId","satno","height","width","xSectMin","shape","objectClass"
NULL,,NULL,"Agena D debris",NULL,NULL,"16.17",NULL,"1969-082DS","4312.0",NULL,NULL,NULL,,"Rocket Fragmentation Debris"
NULL,,NULL,"NABEO 'Pride of Bavaria' (attached to Electron kick stage)",NULL,NULL,"156",NULL,"2018-088C","43692.0",NULL,NULL,NULL,,"Rocket Body"
"17.3156",,"8.9844","Beidou DW 24",NULL,"1.7","1014","10","2017-069A","43001.0","2.2","1.7","2.89","Box + 2 Pan","Payload"
"17.3156",,"8.9844","Beidou DW 25",NULL,"1.7","1014","10","2017-069B","43002.0","2.2","1.7","2.89","Box + 2 Pan","Payload"
"39.1337",,"33.7643","H-18 (Long March (CZ) YF) (Long March (CZ) 3B/YZ-1)","3",NULL,"2800","3","2017-069C","43003.0","12.83",NULL,"7.06858","Cyl + 1 Nozzle","Rocket Body"
"7.06858",,"5.89049","YZ-1 (Long March (CZ) 3B/YZ-1)","3",NULL,"5000","4","2017-069D","43004.0","4",NULL,"5.65487","Double Cone","Rocket Body"
"8.63894",,"7.6757","L-14B-res (YF40B-res) (Long March (CZ) 4C)","2.9",NULL,"1000","2.9","2018-043B","43462.0","1.92",NULL,"5.568","Cyl","Rocket Body"
"73.7507",,"34.0633","Chinasat 18",NULL,"2.5","5250","30","2019-053A","44493.0","5","2.5","6.25","Box + 2 Pan","Payload"
"21.3286",,"10.846","Gaofen 5",NULL,"2","2700","8","2018-043A","43461.0","2","2","4","Box + 3 Pan","Payload"
"17.4076",,"16.1282","Crew Dragon operational debris (trunk)","3.7",NULL,"2300","3.7","2021-103B","52508.0","3.7",NULL,"10.7521","Cyl","Other Mission Related Object"
"64.3802",,"58.1462","Delta IV DCSS 5 (Delta 4M+(5,4))",NULL,NULL,"3510","12","2016-075B","41880.0",NULL,NULL,"20.3482","Cyl + 1 Nozzle","Rocket Body"
"27.5921",,"11.0875","Starlink 3793",NULL,"2.8","260","9","2022-045BB","52380.0","0.2","2.8","0.56","Box + 1 Pan","Payload"
"27.5921",,"11.0875","Starlink 3803",NULL,"2.8","260","9","2022-045BC","52381.0","0.2","2.8","0.56","Box + 1 Pan","Payload"
"27.5921",,"11.0875","Starlink 3799",NULL,"2.8","260","9","2022-045BD","52382.0","0.2","2.8","0.56","Box + 1 Pan","Payload"
"22.8117",,"12.145","Mohammed VI-A","2",NULL,"1110","8","2017-070A","43005.0","4",NULL,"2.59808","Hex Cyl + 3 Pan","Payload"
"0.14",,"0.110113","Starlink operational debris (deployment rail)","0.02",NULL,"100",NULL,"2020-055BL","46085.0","7",NULL,"0.000314159","Cyl","Rocket Mission Related Object"
"0.14",,"0.110113","Starlink operational debris (deployment rail)","0.02",NULL,"100",NULL,"2020-055BM","46086.0","7",NULL,"0.000314159","Cyl","Rocket Mission Related Object"
"0.043589",,"0.035","SUCHAI-2",NULL,"0.1","4","0.3","2022-033AM","52192.0","0.3","0.1","0.01","Box","Payload"
"0.142008",,"0.0980667","Jilin-1 Gaofen 3D-30",NULL,"0.2","43","0.5","2022-048E","52447.0","0.3","0.2","0.04","Box + 2 Pan","Payload"
"0.14",,"0.110113","Starlink operational debris (deployment rail)","0.02",NULL,"100",NULL,"2020-055BN","46087.0","7",NULL,"0.000314159","Cyl","Rocket Mission Related Object"
"27.5921",,"11.0875","Starlink 3811",NULL,"2.8","260","9","2022-045BE","52383.0","0.2","2.8","0.56","Box + 1 Pan","Payload"
"0.14",,"0.110113","Starlink operational debris (deployment rail)","0.02",NULL,"50","7","2022-045BF","52384.0","7",NULL,"0.000314159","Cyl","Rocket Mission Related Object"
"45.3806",,"39.98","Falcon 9 Merlin-V (1D+) (Falcon 9 v1.2)","3.66",NULL,"4300","15.95","2022-029IA",,"15.53",NULL,"10.5052","Cyl","Rocket Body"
"0.14",,"0.110113","Starlink operational debris (deployment rail)","0.02",NULL,"50","7","2022-045BG","52385.0","7",NULL,"0.000314159","Cyl","Rocket Mission Related Object"
"7.6162",,"4.9913","Gaofen 9-05",NULL,"1.5","1700",NULL,"2020-058A","46232.0","1.9","1.5","2.25","Box + 2 Pan","Payload"
"0.14",,"0.110113","Starlink operational debris (deployment rail)","0.02",NULL,"50","7","2022-045BH","52386.0","7",NULL,"0.000314159","Cyl","Rocket Mission Related Object"
"0.14",,"0.110113","Starlink operational debris (deployment rail)","0.02",NULL,"50","7","2022-045BJ","52387.0","7",NULL,"0.000314159","Cyl","Rocket Mission Related Object"
"0.433013",,"0.375","Qiancheng-01",NULL,"0.5","65","0.5","2019-052A","44486.0","0.5","0.5","0.25","Box","Payload"
"0.554527",,"0.475","Tiantuo 5",NULL,"0.5","20","0.7","2020-058C","46234.0","0.7","0.5","0.25","Box","Payload"
"0.0938083",,"0.08","Duogongneng Shiyan Weixing",NULL,"0.2","10","0.3","2020-058B","46233.0","0.3","0.2","0.04","Box","Payload"
"0.123693",,"0.105","Tianqi-2",NULL,"0.3","8","0.3","2019-052B","44487.0","0.3","0.2","0.06","Box","Payload"
"17.4076",,"16.1282","Crew Dragon operational debris (trunk)","3.7",NULL,"2300","3.7","2022-037B","52319.0","3.7",NULL,"10.7521","Cyl","Payload Mission Related Object"
"27.5921",,"11.0875","Starlink 3815",NULL,"2.8","260","9","2022-045H","52338.0","0.2","2.8","0.56","Box + 1 Pan","Payload"
"27.5921",,"11.0875","Starlink 3792",NULL,"2.8","260","9","2022-045J","52339.0","0.2","2.8","0.56","Box + 1 Pan","Payload"
"27.5921",,"11.0875","Starlink 3818",NULL,"2.8","260","9","2022-045K","52340.0","0.2","2.8","0.56","Box + 1 Pan","Payload"
"27.5921",,"11.0875","Starlink 3550",NULL,"2.8","260","9","2022-045AU","52373.0","0.2","2.8","0.56","Box + 1 Pan","Payload"
"23.2825",,"21.677","Crew Dragon 4","4",NULL,"13055","4.9","2022-042A","52318.0","4.9",NULL,"12.5664","Cone + Cyl","Payload"
"27.5921",,"11.0875","Starlink 3762",NULL,"2.8","260","9","2022-045AV","52374.0","0.2","2.8","0.56","Box + 1 Pan","Payload"
"0.142008",,"0.0980667","Jilin-1 Gaofen 3D-31",NULL,"0.2","43","0.5","2022-048F","52448.0","0.3","0.2","0.04","Box + 2 Pan","Payload"
"27.5921",,"11.0875","Starlink 3785",NULL,"2.8","260","9","2022-045AW","52375.0","0.2","2.8","0.56","Box + 1 Pan","Payload"
"0.142008",,"0.0980667","Jilin-1 Gaofen 3D-32",NULL,"0.2","43","0.5","2022-048G","52449.0","0.3","0.2","0.04","Box + 2 Pan","Payload"
"27.5921",,"11.0875","Starlink 3767",NULL,"2.8","260","9","2022-045AX","52376.0","0.2","2.8","0.56","Box + 1 Pan","Payload"
"27.5921",,"11.0875","Starlink 3805",NULL,"2.8","260","9","2022-045AY","52377.0","0.2","2.8","0.56","Box + 1 Pan","Payload"
"0.142008",,"0.0980667","Jilin-1 Gaofen 3D-33",NULL,"0.2","43","0.5","2022-048H","52450.0","0.3","0.2","0.04","Box + 2 Pan","Payload"
"27.5921",,"11.0875","Starlink 3806",NULL,"2.8","260","9","2022-045AZ","52378.0","0.2","2.8","0.56","Box + 1 Pan","Payload"
"0.142008",,"0.0980667","Jilin-1 Kuanfu-01C",NULL,"0.2","43","0.5","2022-048A","52443.0","0.3","0.2","0.04","Box + 2 Pan","Payload"
"27.5921",,"11.0875","Starlink 3800",NULL,"2.8","260","9","2022-045BA","52379.0","0.2","2.8","0.56","Box + 1 Pan","Payload"
"0.142008",,"0.0980667","Jilin-1 Gaofen 3D-27",NULL,"0.2","43","0.5","2022-048B","52444.0","0.3","0.2","0.04","Box + 2 Pan","Payload"
"0.142008",,"0.0980667","Jilin-1 Gaofen 3D-28",NULL,"0.2","43","0.5","2022-048C","52445.0","0.3","0.2","0.04","Box + 2 Pan","Payload"
NULL,,NULL,"Elektron 1 debris",NULL,NULL,"3.38",NULL,"1964-006M","16548.0",NULL,NULL,NULL,,"Payload Fragmentation Debris"
"0.142008",,"0.0980667","Jilin-1 Gaofen 3D-29",NULL,"0.2","43","0.5","2022-048D","52446.0","0.3","0.2","0.04","Box + 2 Pan","Payload"
"18.6683",,"16.7759","Blok-I (Soyuz-2-1A Volga)","2.66",NULL,"2350","6.7","2016-026D","41467.0","6.7",NULL,"5.55716","Cyl","Rocket Body"
"9.99096",,"9.30084","Blok-ML (Molniya-M Blok-ML)","2.58",NULL,"900",NULL,"2001-030D","26870.0","3.3",NULL,"5.22792","Cyl","Rocket Body"
"0.1911",,"0.1076","Flock 2e'-8",NULL,"0.1","4.7","0.3","1998-067JU","41570.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"45.3806",,"39.98","Falcon 9 Merlin-V (1D+) (Falcon 9 v1.2)","3.66",NULL,"4300","15.95","2020-055IA",,"15.53",NULL,"10.5052","Cyl","Rocket Body"
"6.7413",,"5.66648","Iridium 30",NULL,"8.37","662","8.37","1997-051F","24949.0","4.06","1","3.85","Box + 2 Pan","Payload"
"6.7413",,"5.66648","Iridium 77",NULL,"8.37","662","8.37","1998-051E","25471.0","4.06","1","3.85","Box + 2 Pan","Payload"
NULL,,NULL,"Delta 7925 PAM-D operational debris (yo-yo weight)",NULL,NULL,"1",NULL,"1999-055D","26789.0",NULL,NULL,NULL,"Cyl + 1 Cable","Rocket Mission Related Object"
"12.5664",,"8.2179","Briz-M auxiliary tank (DTB)",NULL,"4","1000","4","2014-010D","39615.0","2.1","4","7.45361","Torus","Rocket Mission Related Object"
"45.3806",,"39.98","Falcon 9 Merlin-V (1D+) (Falcon 9 v1.2)","3.66",NULL,"3000","15.95","2016-028B","41472.0","15.53",NULL,"10.5052","Cyl","Rocket Body"
"0.0994987",,"0.075","TuPOD",NULL,"0.3","2","0.3","1998-067KY","41936.0","0.3","0.1","0.03","Box","Payload"
"25.7328",,"18.053","X-37B OTV-5","2.9",NULL,"4990","8.8","2017-052A","42932.0","8.8",NULL,"3.3026","Half Cyl + 2 Wing","Payload"
"49.8908",,"34.7157","USA 278","4",NULL,"4000","10","2017-056A","42941.0","7",NULL,"12.5664","Cyl + 2 Pan","Payload"
"60.2525",,"33.4694","Dragon CRS-12","3.7",NULL,"7690","16.5","2017-045A","42904.0","5.3",NULL,"10.7521","Trunc Cone + Cyl + 2 Pan","Payload"
NULL,,NULL,"Elektron 1 debris",NULL,NULL,"3.38",NULL,"1964-006F","14428.0",NULL,NULL,NULL,,"Payload Fragmentation Debris"
"0.1911",,"0.1076","Flock 1-03",NULL,"0.1","4.7","0.3","1998-067DG","39512.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"0.1911",,"0.1076","Flock 1-04",NULL,"0.1","4.7","0.3","1998-067DH","39513.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"0.1911",,"0.1076","Flock 1-01",NULL,"0.1","4.7","0.3","1998-067DJ","39514.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"0.1911",,"0.1076","Flock 1-02",NULL,"0.1","4.7","0.3","1998-067DK","39515.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"0.1911",,"0.1076","Flock 1-05",NULL,"0.1","4.7","0.3","1998-067DL","39518.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"0.1911",,"0.1076","Flock 1-06",NULL,"0.1","4.7","0.3","1998-067DM","39519.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"0.1911",,"0.1076","Flock 1-11",NULL,"0.1","4.7","0.3","1998-067DN","39520.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"0.1911",,"0.1076","Flock 1-12",NULL,"0.1","4.7","0.3","1998-067DP","39521.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"0.1911",,"0.1076","Flock 1-13",NULL,"0.1","4.7","0.3","1998-067DQ","39525.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"0.1911",,"0.1076","Flock 1-07",NULL,"0.1","4.7","0.3","1998-067DR","39526.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"0.1911",,"0.1076","Flock 1-15",NULL,"0.1","4.7","0.3","1998-067DS","39527.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"0.1911",,"0.1076","Flock 1-16",NULL,"0.1","4.7","0.3","1998-067DT","39528.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"0.1911",,"0.1076","Flock 1-09",NULL,"0.1","4.7","0.3","1998-067DU","39529.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"0.1911",,"0.1076","Flock 1-10",NULL,"0.1","4.7","0.3","1998-067DV","39530.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"0.1911",,"0.1076","Flock 1-14",NULL,"0.1","4.7","0.3","1998-067DW","39531.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"0.1911",,"0.1076","Flock 1-08",NULL,"0.1","4.7","0.3","1998-067DX","39532.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"0.1911",,"0.1076","Flock 1-17",NULL,"0.1","4.7","0.3","1998-067DY","39555.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"0.1911",,"0.1076","Flock 1-18",NULL,"0.1","4.7","0.3","1998-067DZ","39556.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"0.1911",,"0.1076","Flock 1-21",NULL,"0.1","4.7","0.3","1998-067EA","39557.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"8.63894",,"7.6757","L-14B-res (YF40B-res) (Long March (CZ) 4C)","2.9",NULL,"1000","2.9","2022-027B","52085.0","1.92",NULL,"5.568","Cyl","Rocket Body"
"0.1911",,"0.1076","Flock 1-22",NULL,"0.1","4.7","0.3","1998-067EB","39558.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"24.5506",,"21.5601","Blok-I (Soyuz-2-1A)","2.66",NULL,"2350","8.99","2022-028B","52087.0","8.99",NULL,"5.55716","Cyl","Rocket Body"
"0.1911",,"0.1076","Flock 1-19",NULL,"0.1","4.7","0.3","1998-067EC","39559.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"23.657",,"13.5615","Starlink 3537",NULL,"1.5","260","8.86","2022-029A","52088.0","0.1","3.7","0.2311","Box + 1 Pan","Payload"
"0.1911",,"0.1076","Flock 1-20",NULL,"0.1","4.7","0.3","1998-067ED","39560.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"23.657",,"13.5615","Starlink 3722",NULL,"1.5","260","8.86","2022-029B","52089.0","0.1","3.7","0.2311","Box + 1 Pan","Payload"
"23.657",,"13.5615","Starlink 3712",NULL,"1.5","260","8.86","2022-029C","52090.0","0.1","3.7","0.2311","Box + 1 Pan","Payload"
"0.1911",,"0.1076","Flock 1-25",NULL,"0.1","4.7","0.3","1998-067EE","39561.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"23.657",,"13.5615","Starlink 3713",NULL,"1.5","260","8.86","2022-029D","52091.0","0.1","3.7","0.2311","Box + 1 Pan","Payload"
"0.1911",,"0.1076","Flock 1-23",NULL,"0.1","4.7","0.3","1998-067EF","39562.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"23.657",,"13.5615","Starlink 3716",NULL,"1.5","260","8.86","2022-029E","52092.0","0.1","3.7","0.2311","Box + 1 Pan","Payload"
"0.1911",,"0.1076","Flock 1-26",NULL,"0.1","4.7","0.3","1998-067EG","39563.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"23.657",,"13.5615","Starlink 3673",NULL,"1.5","260","8.86","2022-029F","52093.0","0.1","3.7","0.2311","Box + 1 Pan","Payload"
"23.657",,"13.5615","Starlink 3687",NULL,"1.5","260","8.86","2022-029Y","52110.0","0.1","3.7","0.2311","Box + 1 Pan","Payload"
"0.1911",,"0.1076","Flock 1-24",NULL,"0.1","4.7","0.3","1998-067EH","39564.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"23.657",,"13.5615","Starlink 3731",NULL,"1.5","260","8.86","2022-029X","52109.0","0.1","3.7","0.2311","Box + 1 Pan","Payload"
"0.1911",,"0.1076","Flock 1-27",NULL,"0.1","4.7","0.3","1998-067EP","39570.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"23.657",,"13.5615","Starlink 3678",NULL,"1.5","260","8.86","2022-029AK","52121.0","0.1","3.7","0.2311","Box + 1 Pan","Payload"
"0.1911",,"0.1076","Flock 1-28",NULL,"0.1","4.7","0.3","1998-067EQ","39571.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"23.657",,"13.5615","Starlink 3684",NULL,"1.5","260","8.86","2022-029AN","52124.0","0.1","3.7","0.2311","Box + 1 Pan","Payload"
"23.657",,"13.5615","Starlink 3726",NULL,"1.5","260","8.86","2022-029AL","52122.0","0.1","3.7","0.2311","Box + 1 Pan","Payload"
"0.1911",,"0.1076","Flock 1b-26",NULL,"0.1","4.7","0.3","1998-067EW","40124.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"23.657",,"13.5615","Starlink 3729",NULL,"1.5","260","8.86","2022-029AZ","52135.0","0.1","3.7","0.2311","Box + 1 Pan","Payload"
"0.1911",,"0.1076","Flock 1b-25",NULL,"0.1","4.7","0.3","1998-067EX","40125.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"3.34505",,"1.71247","Tiankun-2",NULL,"0.7","90","2.7","2022-031A","52150.0","1","0.7","0.49","Box + 4 Pan","Payload"
"0.1911",,"0.1076","Flock 1b-15",NULL,"0.1","4.7","0.3","1998-067EY","40126.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"30.0096",,"20.131","Pujiang-2",NULL,"3","2000","7.5","2022-031B","52151.0","4","3","9","Box + 2 Pan","Payload"
"0.1911",,"0.1076","Flock 1e-8",NULL,"0.1","4.7","0.3","1998-067GK","40727.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"0.1911",,"0.1076","Flock 1b-16",NULL,"0.1","4.7","0.3","1998-067EZ","40127.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"0.1911",,"0.1076","Flock 1e-5",NULL,"0.1","4.7","0.3","1998-067GL","40728.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"0.1911",,"0.1076","Flock 1b-1",NULL,"0.1","4.7","0.3","1998-067FA","40131.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"0.1911",,"0.1076","Flock 1e-6",NULL,"0.1","4.7","0.3","1998-067GM","40729.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"37.3325",,"23.7977","Cygnus CRS-8E","2.9",NULL,"7919","10.5","2017-071A","43006.0","6.4",NULL,"6.6052","Cyl + 2 Pan","Payload"
"16.9963",,"15.4684","Antares second stage (Castor 30XL) (Antares 230)","3.9",NULL,"1185","3.9","2017-071B","43007.0","3.1",NULL,"11.9459","Cyl","Rocket Body"
"0.1911",,"0.1076","Flock 1b-2",NULL,"0.1","4.7","0.3","1998-067FB","40132.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"0.1911",,"0.1076","Flock 1e-9",NULL,"0.1","4.7","0.3","1998-067GN","40736.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"0.1911",,"0.1076","Flock 1b-7",NULL,"0.1","4.7","0.3","1998-067FC","40133.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"89.7509",,"39.4233","Bangabandhu 1",NULL,"2.5","3700","38","2018-044A","43463.0","5","2.5","6.25","Box + 2 Pan","Payload"
"0.1911",,"0.1076","Flock 1b-8",NULL,"0.1","4.7","0.3","1998-067FD","40134.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"45.3806",,"39.98","Falcon 9 Merlin-V (1D+) (Falcon 9 v1.2)","3.66",NULL,"4300","15.95","2018-044B","43464.0","15.53",NULL,"10.5052","Cyl","Rocket Body"
"0.69455",,"0.6","USA 287",NULL,"0.6","100","0.6","2018-036G","43465.0","0.7","0.6","0.36","Box","Payload"
"0.1911",,"0.1076","Flock 1e-10",NULL,"0.1","4.7","0.3","1998-067GP","40737.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"0.1911",,"0.1076","Flock 1b-18",NULL,"0.1","4.7","0.3","1998-067FE","40139.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"0.1911",,"0.1076","Flock 1e-11",NULL,"0.1","4.7","0.3","1998-067GQ","40738.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"0.1911",,"0.1076","Flock 1b-17",NULL,"0.1","4.7","0.3","1998-067FF","40140.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"0.1911",,"0.1076","Flock 1e-12",NULL,"0.1","4.7","0.3","1998-067GR","40739.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"39.5204",,"34.6645","L-15 (YF-115) (Long March (CZ) 7)","3.35",NULL,"6000","11.5","2022-050D","52512.0","11.5",NULL,"8.81413","Cyl","Rocket Body"
"0.1911",,"0.1076","Flock 1b-27",NULL,"0.1","4.7","0.3","1998-067FN","40422.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"0.0938083",,"0.08","E-Space 1",NULL,"0.2","10","1","2022-047AF","52423.0","0.3","0.2","0.04","Box","Payload"
"0.1911",,"0.1076","Flock 1e-13",NULL,"0.1","4.7","0.3","1998-067GS","40740.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"0.1911",,"0.1076","Flock 1b-28",NULL,"0.1","4.7","0.3","1998-067FP","40423.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"0.1911",,"0.1076","Flock 1e-14",NULL,"0.1","4.7","0.3","1998-067GT","40741.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"31.412",,"25.6875","Tianzhou-4","3.35",NULL,"12910","9","2022-050A","52509.0","9",NULL,"8.81413","Step Cyl + 2 Pan","Payload"
"0.1911",,"0.1076","Flock 1b-21",NULL,"0.1","4.7","0.3","1998-067FQ","40427.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"0.704561",,"0.58125","Hypatia",NULL,"0.75","37","0.75","2020-061A","46272.0","0.75","0.4","0.3","Box","Payload"
"0.0173205",,"0.015","Batsú-CS-1",NULL,"0.1","1","0.1","1998-067NR","43468.0","0.1","0.1","0.01","Box","Payload"
"0.1911",,"0.1076","Flock 2b-1",NULL,"0.1","4.7","0.3","1998-067HB","40950.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"0.1911",,"0.1076","Flock 1b-10",NULL,"0.1","4.7","0.3","1998-067FS","40429.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"0.1911",,"0.1076","Flock 2b-2",NULL,"0.1","4.7","0.3","1998-067HC","40951.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"0.0994987",,"0.075","UBAKUSAT",NULL,"0.3","4","0.3","1998-067NP","43466.0","0.3","0.1","0.03","Box","Payload"
"0.1911",,"0.1076","Flock 1d'-1",NULL,"0.1","4.7","0.3","1998-067FU","40451.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"0.0173205",,"0.015","1KUNS-PF",NULL,"0.1","1","0.1","1998-067NQ","43467.0","0.1","0.1","0.01","Box","Payload"
"23.657",,"13.5615","Starlink 1634",NULL,"1.5","260","8.86","2020-057AM","46152.0","0.1","3.7","0.2311","Box + 1 Pan","Payload"
"0.1911",,"0.1076","Flock 2b-3",NULL,"0.1","4.7","0.3","1998-067HD","40952.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"0.1911",,"0.1076","Flock 1d'-2",NULL,"0.1","4.7","0.3","1998-067FV","40452.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"0.1911",,"0.1076","Flock 2b-4",NULL,"0.1","4.7","0.3","1998-067HE","40953.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"23.657",,"13.5615","Starlink 1636",NULL,"1.5","260","8.86","2020-057AN","46153.0","0.1","3.7","0.2311","Box + 1 Pan","Payload"
"0.1911",,"0.1076","Flock 1b-5",NULL,"0.1","4.7","0.3","1998-067FW","40453.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"23.657",,"13.5615","Starlink 1642",NULL,"1.5","260","8.86","2020-057AP","46154.0","0.1","3.7","0.2311","Box + 1 Pan","Payload"
"0.1911",,"0.1076","Flock 2b-5",NULL,"0.1","4.7","0.3","1998-067HF","40954.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"23.657",,"13.5615","Starlink 1667",NULL,"1.5","260","8.86","2020-057AQ","46155.0","0.1","3.7","0.2311","Box + 1 Pan","Payload"
"0.1911",,"0.1076","Flock 1b-6",NULL,"0.1","4.7","0.3","1998-067FX","40454.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"23.657",,"13.5615","Starlink 1545",NULL,"1.5","260","8.86","2020-057AR","46156.0","0.1","3.7","0.2311","Box + 1 Pan","Payload"
"0.1911",,"0.1076","Flock 2b-6",NULL,"0.1","4.7","0.3","1998-067HG","40955.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"0.1911",,"0.1076","Flock 1b-11",NULL,"0.1","4.7","0.3","1998-067GC","40459.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"0.1911",,"0.1076","Flock 2b-7",NULL,"0.1","4.7","0.3","1998-067HH","40956.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"23.657",,"13.5615","Starlink 1587",NULL,"1.5","260","8.86","2020-057AS","46157.0","0.1","3.7","0.2311","Box + 1 Pan","Payload"
"0.1911",,"0.1076","Flock 1b-12",NULL,"0.1","4.7","0.3","1998-067GD","40460.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"23.657",,"13.5615","Starlink 1589",NULL,"1.5","260","8.86","2020-057AT","46158.0","0.1","3.7","0.2311","Box + 1 Pan","Payload"
"23.657",,"13.5615","Starlink 1595",NULL,"1.5","260","8.86","2020-057AU","46159.0","0.1","3.7","0.2311","Box + 1 Pan","Payload"
"0.1911",,"0.1076","Flock 2b-8",NULL,"0.1","4.7","0.3","1998-067HJ","40957.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"0.1911",,"0.1076","Flock 1e-2",NULL,"0.1","4.7","0.3","1998-067GE","40722.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"0.1911",,"0.1076","Flock 2b-10",NULL,"0.1","4.7","0.3","1998-067HK","40962.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"23.657",,"13.5615","Starlink 1598",NULL,"1.5","260","8.86","2020-057AV","46160.0","0.1","3.7","0.2311","Box + 1 Pan","Payload"
"0.1911",,"0.1076","Flock 1e-1",NULL,"0.1","4.7","0.3","1998-067GF","40723.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"23.657",,"13.5615","Starlink 1600",NULL,"1.5","260","8.86","2020-057AW","46161.0","0.1","3.7","0.2311","Box + 1 Pan","Payload"
"0.1911",,"0.1076","Flock 2b-9",NULL,"0.1","4.7","0.3","1998-067HL","40963.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"0.1911",,"0.1076","Flock 1e-4",NULL,"0.1","4.7","0.3","1998-067GG","40724.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"23.657",,"13.5615","Starlink 1603",NULL,"1.5","260","8.86","2020-057AX","46162.0","0.1","3.7","0.2311","Box + 1 Pan","Payload"
"23.657",,"13.5615","Starlink 1612",NULL,"1.5","260","8.86","2020-057AZ","46164.0","0.1","3.7","0.2311","Box + 1 Pan","Payload"
"0.1911",,"0.1076","Flock 2b-13",NULL,"0.1","4.7","0.3","1998-067HM","40979.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"0.1911",,"0.1076","Flock 1e-3",NULL,"0.1","4.7","0.3","1998-067GH","40725.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
"0.1911",,"0.1076","Flock 2b-14",NULL,"0.1","4.7","0.3","1998-067HN","40980.0","0.3","0.1","0.018","Box + 2 Pan","Payload"
