"xSectMax","vimpelId","xSectAvg","name","diameter","depth","mass","span","cosparId","satno","height","width","xSectMin","shape","objectClass"
"45.3806",,"39.98","Falcon 9 Merlin-V (1D+) (Falcon 9 v1.2)","3.66",NULL,"4300","15.95","2018-101IA",,"15.53",NULL,"10.5052","Cyl","Rocket Body"
"0.0281",,"0.0156","SpaceBEE-123",NULL,"0.1","0.284","0.9","2022-026V","52027.0","0.025","0.1","0.0095","Box + 2 Ant","Payload"
"31.0906",,"27.8237","L-53 (YF24B) (Long March (CZ) 2D)","3.35",NULL,"4000","8.9","2018-102IA",,"8.9",NULL,"8.81413","Cyl","Rocket Body"
"8.79026",,"7.85791","CZ-4B operational debris (upper adapter)","2.9",NULL,"200",NULL,"2019-093L","44889.0","2",NULL,"5.8","Cyl","Rocket Mission Related Object"
"23.657",,"13.5615","Starlink 2617",NULL,"1.5","260","8.86","2021-044BD","48689.0","0.1","3.7","0.2311","Box + 1 Pan","Payload"
"45.3806",,"39.98","Falcon 9 Merlin-V (1D+) (Falcon 9 v1.2)","3.66",NULL,"4300","15.95","2018-109IA",,"15.53",NULL,"10.5052","Cyl","Rocket Body"
"14.8322",,"12.1104","Fregat-M (Soyuz-2-1A Fregat-M)",NULL,NULL,"920","3.48","2018-111IA",,NULL,NULL,"6.0552","Irr","Rocket Body"
"7.90845",,"7.27451","Blok-ML (Molniya-M Blok-ML)","2.58",NULL,"891.97",NULL,"1977-010E","9850.0","2.3",NULL,"5.22792","Cyl","Rocket Body"
"4.62921",,"4.24115","DM-F3","2",NULL,"4348","2","2000-048A","26476.0","1.7",NULL,"3.14159","Cyl","Payload"
"14.8322",,"12.1104","Fregat-M (Soyuz-2-1A Fregat-M)",NULL,NULL,"920","3.48","2018-014IA",,NULL,NULL,"6.0552","Irr","Rocket Body"
"0.704561",,"0.58125","NuSat 22",NULL,"0.75","37","0.75","2021-059AS","48919.0","0.75","0.4","0.3","Box","Payload"
"0.14",,"0.110113","Starlink operational debris (deployment rail)","0.02",NULL,"100","7","2021-082BG","49184.0","7",NULL,"0.000314159","Cyl","Rocket Mission Related Object"
"23.657",,"13.5615","Starlink 3711",NULL,"1.5","260","8.86","2022-029AV","52131.0","0.1","3.7","0.2311","Box + 1 Pan","Payload"
"0.14",,"0.110113","Starlink operational debris (deployment rail)","0.02",NULL,"100","7","2021-082BH","49185.0","7",NULL,"0.000314159","Cyl","Rocket Mission Related Object"
"0.0994987",,"0.075","CHEFsat 2",NULL,"0.3","2.7","0.3","2018-092E","44044.0","0.3","0.1","0.03","Box + 1 Pan","Payload"
"23.2825",,"21.677","Crew Dragon Inspiration4","4",NULL,"13055","4.9","2021-084A","49220.0","4.9",NULL,"12.5664","Cone + Cyl","Payload"
"0.0173205",,"0.015","MySat-1",NULL,"0.1","1","0.1","2018-092F","44045.0","0.1","0.1","0.01","Box","Payload"
